Req ID,Title,Description,Priority,Component,Owner,Acceptance Criteria,Metric/Target,Test Method,Dependencies,Status,Target Sprint,Target Date,Notes
R1,Realtime voice loop,Bi‑directional voice with barge‑in/out; streaming TTS,Must,Voice,Voice Eng,Median talk→talk ≤ 600 ms; barge‑in < 150 ms stop,RTT p50≤0.6s / p95≤0.9s,Device matrix tests; synthetic audio harness,LC-010,Planned,S1,,
R2,Avatar lip‑sync & gaze,Blendshape visemes + micro‑saccades + nods + captions,Must,Avatar,Client Eng,Lip‑sync error <5%; 60fps on iPhone 12/Pixel 6,Viseme timing error; FPS ≥60,Golden video diff; profiler traces,LC-011,Planned,S2,,
R3,Lesson planner,Spark/Sprint/Reflection JSON plan per day,Must,Learning,Backend Eng,Valid against schema; 10 Daily Lesson topics (proof set),JSON schema CI passes,Unit tests + educator review,LC-012,Planned,S1,,
R4,Vision explain,Extract & explain from images/docs,Should,AI,AI Eng,≥90% correct extraction on test set,Accuracy≥0.9,Eval set; manual spot checks,LC-013,Planned,S3,,
R5,Memory ledger,User‑editable memory with CRUD + redaction,Must,Backend,Backend Eng,Create/Edit/Delete in <1s; audit log per change,Latency<1s; 100% audit,Integration tests,LC-014,Planned,S2,,
R6,Safety router,Moderate inputs/outputs; safe completion rewrites,Must,Safety,Safety Eng,Precision ≥0.98; Recall ≥0.95,Policy eval suite,Automated moderation tests,LC-015,Planned,S1,,
R7,Analytics,Event schema + dashboards,Must,Data,Data Eng,Dashboards for D1/D7/Latency,All dashboards live,Query checks; SLA,LC-016,Planned,S2,,
R8,Billing,IAP products & entitlements,Must,Payments,PM,Unlocks within 2s; receipt validation stable,<1% failed unlocks,Sandbox tests; chaos,LC-017,Planned,S3,,
R9,Apps SDK widget,Lesson Board component wired; callTool enabled,Should,Apps SDK,Frontend Eng,Widget renders + refresh via callTool,Runs in ChatGPT Dev Mode,Manual runbook; SDK logs,LC-021,Planned,S3,,
R10,MCP server,HTTP streamable /mcp endpoint with 3 tools,Must,Apps SDK,Platform Eng,Tools introspectable; outputs hydrate widget,Connector test passes,MCP Inspector,LC-020,Planned,S2,,
R11,Privacy labels (iOS),Accurate App Privacy & manifests,Must,Compliance,PM,App Review pass on first try,Approved,Checklist + screenshots,LC-040,Planned,S4,,
R12,Data Safety (Play),Accurate forms + deletion URL,Must,Compliance,PM,Precheck passes,Approved,Console check,LC-041,Planned,S4,,
R13,Localization,EN→ES/FR (UI + prompts),Could,Localization,Localization,95% coverage strings; RTL ready,Coverage %,L10n tests,LC-031,Backlog,S5,,
R14,Latency guardrails,Auto‑switch to OS STT/TTS on cost/latency spikes,Should,Voice,Voice Eng,Switch in <500 ms; no crash,Seamless handoff,Fault injection,R1,Backlog,S4,,
R15,Security review,PII flows; scopes; storage,Must,Security,Security,All criticals closed,0 open criticals,Pentest + checklist,LC-044,Planned,S4,,
